participant.code,treatment,total_distance,type,options_visited,value_first
,,,,,
n1erlc7h,C,6750.222213,A<O,6,3
,,,,,
n4wx9zbx,C,2923.80444,A=O,6,4
,,,,,
n56byelm,R,553.522348,A,1,6
,,,,,
nde6gdz6,R*,1003.260737,A,1,6
,,,,,
ne8yjfio,C,499.8326923,A,1,5
,,,,,
nh6h8y5p,C,692.2301494,A,1,6
,,,,,
nlydazjd,R*,538.8366293,A,1,1
,,,,,
np5d36ch,C*,601.2253299,A,1,2
,,,,,
nqgmsksw,R,433.4918085,A,1,2
,,,,,
ntppwgw4,R*,683.8914833,A,1,5
,,,,,
ocl3eeac,R*,602.4762108,A,1,5
,,,,,
odktm0a6,C,278.8259519,A,1,5
,,,,,
oeimtbge,C,7371.463416,A=O,6,3
,,,,,
onpuf3mj,C,3756.63058,A=O,6,4
,,,,,
ou3qoux8,C*,563.2882413,A,1,1
,,,,,
p1d2vc2u,C*,399.1043905,A,1,1
,,,,,
p3uymypa,C*,561.9760939,A,1,2
,,,,,
paumy092,C,5566.38839,A=O,6,1
,,,,,
pdwkxbru,R*,438.8018363,A,1,3
,,,,,
pejrqx7e,C*,498.2743442,A,1,3
,,,,,
pfruze01,C,416.1901544,A,1,6
,,,,,
pjaxai7q,R*,456.3000494,A,1,5
,,,,,
pjr3qc0t,R*,620.4746211,A,1,6
,,,,,
poz055hz,C,312.908709,A,1,3
,,,,,
pvsa8kxm,R,932.8905323,A,1,2
,,,,,
pw8dyhqk,R,1817.208276,A>O,2,3
,,,,,
q14i7yh2,C*,3237.398343,A=O,6,6
,,,,,
qix71prz,C*,729.7927966,A,1,3
,,,,,
qmp843bb,R,1543.946212,A<O,2,5
,,,,,
qsjosxaq,R*,411.9139806,A,1,1
,,,,,
qujbp8ld,C,683.3317864,A,1,4
,,,,,
qx3g0ple,C*,448.4004319,A,1,3
,,,,,
r2tbbbee,C,502.3646723,A,1,6
,,,,,
rk7pbgrq,C,2634.342106,A<O,6,5
,,,,,
rqk9lyec,C*,375.5341774,A,1,2
,,,,,
rrvfmoo9,C,6037.459566,A=O,6,4
,,,,,
s4l1ohaw,C*,,A,1,
,,,,,
s6ol47dd,C,299.3268051,A,1,4
,,,,,
sbhahxv7,R*,444.3778117,A,1,1
,,,,,
siik2lik,R*,446.8483259,A,1,3
,,,,,
sug2pezs,R*,1256.637242,A<O,3,1
,,,,,
synq83sk,R,731.2649948,A,1,1
,,,,,
te468y5p,C*,323.1836341,A,1,3
,,,,,
tgfvisg1,C*,481.0955128,A,1,3
,,,,,
torei7kx,C,4504.014167,A<O,6,2
,,,,,
tpsr0smv,R,730.1015836,A,1,5
,,,,,
ty3bm26o,C*,480.5904787,A,1,2
,,,,,
u0ghtcr2,C*,342.1404762,A,1,3
,,,,,
u40exh79,C,1447.377972,A=O,2,3
,,,,,
u6dgx4ue,R*,1333.252313,A<O,2,5
,,,,,
udfepza8,R,789.3577532,A,1,6
,,,,,
ugnnwdz8,R,3392.017119,A>O,6,6
,,,,,
uifrr2bi,R,329.5782942,A,1,2
,,,,,
unll52d9,R*,1285.925497,A<O,2,5
,,,,,
uo355dhs,C,3637.723408,A=O,4,5
,,,,,
uqgyb60k,C,606.8080354,A,1,4
,,,,,
usqb2kob,R*,1310.826974,A,1,2
,,,,,
uuff6rv7,C*,406.2279823,A,1,6
,,,,,
uxzt6z6k,C,459.4869085,A,1,4
,,,,,
v5jdh9hl,R,887.8808407,A,1,3
,,,,,
v6tftdh0,R,418.7031948,A,1,4
,,,,,
v8c7znmq,C,461.6065099,A,1,6
,,,,,
vermzwu2,R*,907.0458117,A,1,5
,,,,,
vhv1mfms,R*,587.9354124,A,1,1
,,,,,
vuzy28h2,C*,432.1252323,A,1,4
,,,,,
vwburhlr,C,3257.371283,A=O,6,2
,,,,,
vz8j14ui,R,508.768271,A,1,6
,,,,,
w1fxgrs5,R,326.9169522,A,1,1
,,,,,
w1sty825,C,469.0550749,A,1,6
,,,,,
wesjyia5,C*,1967.254653,A,1,6
,,,,,
wk44og6v,C,3461.771481,A=O,6,3
,,,,,
woy3chsa,C,410.0352997,A,1,6
,,,,,
x0ltmmsx,C*,633.9070761,A,1,6
,,,,,
x175s09i,R*,976.8305447,A,1,2
,,,,,
x50bvgex,C*,3845.454074,A=O,6,2
,,,,,
xcrn5ebs,C*,1042.974845,A,1,3
,,,,,
xiisrgmb,C,5655.922403,A<O,6,1
,,,,,
xjnthtia,R,296.5556806,A,1,1
,,,,,
xurgp0cx,R*,1156.566358,A,1,1
,,,,,
xv2gkhx2,R,878.023017,A,1,6
,,,,,
xw8y3ka6,C*,3424.720011,A=O,6,4
,,,,,
yu7poanz,C,2262.709087,A=O,4,3
,,,,,
zq896de0,C,537.6320953,A,1,5
,,,,,
zw5ngnd5,C*,323.4337494,A,1,4
,,,,,
zwsvppxj,C,416.2134894,A,1,6
,,,,,
zx7qzgja,R,350.3753134,A,1,2
